"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TFCP2L1",1334.32636169998,-0.633445792744184,0.098681199472448,-6.41911322653758,1.37070434810212e-10,2.37286297782016e-08
"EDN1",254.690974221571,1.05921268526263,0.165808029577494,6.38818691689223,1.67864080948988e-10,2.86557974853334e-08
"S100P",686.308565893729,0.690261278477382,0.110270183239754,6.25972731882188,3.85651203703439e-10,6.4932040338616e-08
"PI3",71.2624700369474,1.8018577385997,0.2894292281562,6.22555555317745,4.79852582898144e-10,7.97009202216364e-08
"TSC22D3",663.891804829218,-0.719011517484693,0.115940244922238,-6.20156976524363,5.59027286836843e-10,9.16133917668219e-08
"MX2",60.8794284058454,2.22183030551039,0.361593870092845,6.14454638000335,8.0192356537902e-10,1.29690033448336e-07
"XDH",692.985382369146,0.729010662801,0.118760211840596,6.13850928271754,8.32994459705259e-10,1.32965388366719e-07
"PDGFB",226.297606468504,1.01355104692553,0.16517070260067,6.13638515164505,8.44203437182241e-10,1.3302698008214e-07
"PLSCR1",440.807284066008,0.845369613883393,0.1386429383568,6.09745886738076,1.07767837090139e-09,1.67667656414544e-07
"KYNU",1283.15493348368,0.839813512410026,0.137889918563829,6.09046347374031,1.12584269924967e-09,1.72971657705972e-07
"CLCA2",3973.5266236453,-0.544700886026333,0.0901406978067263,-6.04278532649309,1.51476142579832e-09,2.29851020796137e-07
"PLAU",10489.0498423131,0.545620086167609,0.0906771943870845,6.01716991637892,1.77492747541335e-09,2.66044312198847e-07
"IFI44",281.061292948386,0.882087426058363,0.146788809342798,6.00922801954482,1.86408797485075e-09,2.76042232516753e-07
"STC1",712.517985566741,0.738465685167079,0.123513243603839,5.97883808748202,2.2473478924947e-09,3.28835154126814e-07
"TGM2",3357.11441402732,0.717517476566613,0.120280070926326,5.96538953660999,2.44051108294232e-09,3.5289790259346e-07
"IFITM3",2125.85944680553,0.775929203844388,0.130331648752964,5.9534979513312,2.62471142874649e-09,3.75120095008408e-07
"PARP9",864.253015322196,0.664530724309053,0.113542798597051,5.85268931645225,4.83687167936031e-09,6.83333216218592e-07
"COL8A1",687.828050795557,0.660895155751284,0.113184548938826,5.83909342704085,5.24856327364696e-09,7.33069218140849e-07
"NEDD9",904.135600013369,0.63747312624211,0.109829092084509,5.80422831640635,6.46631153085663e-09,8.93004887929875e-07
"ADRB2",595.695761908811,0.699267440117521,0.120869779757484,5.78529589050751,7.23848033571505e-09,9.88535131180818e-07
"MAF",746.275308308666,-0.83911124744111,0.145317755476822,-5.77432017641468,7.72643949334277e-09,1.04357876717226e-06
"MMP1",512.895720368017,0.766308163931036,0.133608760932402,5.73546344254133,9.72460668708206e-09,1.29918631294484e-06
"SOCS3",190.083217762846,1.036085704212,0.181600492673472,5.7053022762165,1.161368012745e-08,1.52505294721621e-06
"VNN1",49.2130054412047,1.88323793402964,0.330232047106036,5.7027715829922,1.17874892185778e-08,1.52505294721621e-06
"PARP12",353.861575350942,0.779874193049845,0.136727474370719,5.70385869145303,1.17125186481161e-08,1.52505294721621e-06
"ITGA5",5038.83392458444,0.512743103351304,0.0904334938152654,5.66983627104709,1.42934047736455e-08,1.8300024799258e-06
